txid,timestamp,datetime,src_ip,dst_ip,primary_wallet,src_country,src_asn,label,entity_type,input_count,output_count,total_input_amount,total_output_amount,transaction_value,fee,fee_ratio,input_output_ratio,amount_in_out_ratio,fan_out_ratio,output_amount_variance,output_entropy,input_entropy,is_high_fanout,is_high_fanin,wallet_prior_tx_count,wallet_prior_sent_count,wallet_prior_recv_count,wallet_unique_ips_count,wallet_unique_asns_count,wallet_avg_sent_amount,wallet_std_sent_amount,wallet_avg_recv_amount,wallet_in_out_tx_ratio,ip_prior_tx_count,ip_associated_wallets_count,ip_unique_ports_used,is_standard_btc_port,is_ephemeral_src_port,shared_infrastructure_indicator,time_since_prev_wallet_tx,time_since_prev_ip_tx,burst_score,wallet_txs_last_1h,wallet_txs_last_6h,wallet_txs_last_24h,wallet_txs_last_7d,ip_txs_last_1h,ip_txs_last_24h,wallet_tx_velocity_per_hour,graph_degree,graph_in_degree,graph_out_degree,graph_pagerank,graph_2hop_neighbors,graph_3hop_neighbors
TX_000001_5219,2026-01-01 00:00:44,2026-01-01 00:00:44,198.51.100.36,119.81.130.182,1BTC00552y,Private Network,AS0,0,EXCHANGE,3.0,16.0,52.775051000000005,52.690973,52.775051000000005,0.084078,0.0015931391520588012,0.1875,1.0015956812944031,5.333315555614814,0.20003123858165237,3.98591117350104,1.5834746585519437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,18.0,0.0394231613599902,693.0,499.0
TX_000002_3367,2026-01-01 00:05:21,2026-01-01 00:05:21,119.81.130.159,185.220.101.77,1BTC00581x,Singapore,AS4657,0,NORMAL_USER,2.0,1.0,0.845708,0.844512,0.845708,0.001196,0.0014141997001329064,2.0,1.0014162024932742,0.49999750001249993,0.0,0.0,0.9988637821473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,0.029584018340843114,76.0,765.0
TX_000003_8040,2026-01-01 00:06:04,2026-01-01 00:06:04,119.81.130.225,178.62.204.146,1BTC01196z,Singapore,AS4657,0,EXCHANGE,13.0,15.0,29.123906,29.095957,29.123906,0.027949,0.0009596583645064642,0.8666666666666667,1.000960580193324,1.1538452662728722,0.04757722614224891,3.8979792654680554,3.6984046935660144,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,17.0,0.06049983410605419,956.0,416.0
TX_000004_9285,2026-01-01 00:09:44,2026-01-01 00:09:44,194.87.144.175,103.21.244.192,1BTC00187c,Russia,AS12389,0,MINER,1.0,5.0,10.898485,10.882821999999999,10.898485,0.015663,0.0014371722308192377,0.2,1.0014392406675403,4.999950000499995,0.05870313072183999,2.3125349245056714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,0.02823593888021087,156.0,810.0
TX_000005_6114,2026-01-01 00:12:10,2026-01-01 00:12:10,51.15.89.115,51.15.89.164,1BTC00242y,Germany,AS24940,0,NORMAL_USER,2.0,2.0,1.1136949999999999,1.112954,1.1136949999999999,0.000741,0.0006653527222444207,1.0,1.0006657957112333,0.9999950000249999,0.00036526854400000067,0.9991489642785019,0.9999243232486492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.029809007472833656,136.0,664.0
TX_000006_8129,2026-01-01 00:14:40,2026-01-01 00:14:40,91.200.12.38,51.15.89.115,1BTC00166c,Seychelles,AS36997,0,MERCHANT,2.0,3.0,0.959805,0.958444,0.959805,0.001361,0.0014179963638447392,0.6666666666666666,1.0014200099327661,1.4999925000374998,0.0021043575742222226,1.5697037147552573,0.9984867612125199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,0.035745089909568574,318.0,549.0
TX_000007_6497,2026-01-01 00:14:53,2026-01-01 00:14:53,178.62.204.13,51.15.89.204,1BTC00053z,United Kingdom,AS2856,0,EXCHANGE,3.0,15.0,133.92318699999998,133.711132,133.92318699999998,0.212055,0.0015834076588992765,0.2,1.0015859188148972,4.999983333388888,0.6430354031235824,3.9007872664367143,1.5845714033325635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,17.0,0.04787738134796403,812.0,600.0
TX_000008_9158,2026-01-01 00:20:27,2026-01-01 00:20:27,119.81.130.249,178.62.204.118,1BTC00909c,Singapore,AS4657,0,NORMAL_USER,1.0,2.0,1.655024,1.65301,1.655024,0.002014,0.001216900782103462,0.5,1.001218383433857,1.9999800001999979,0.001371665296000001,0.9985510708228057,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.226834,1.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.025815512257937077,270.0,349.0
TX_000009_6922,2026-01-01 00:23:46,2026-01-01 00:23:46,119.81.130.182,198.51.100.125,1BTC00332b,Singapore,AS4657,0,NORMAL_USER,1.0,2.0,0.919977,0.919418,0.919977,0.000559,0.0006076238862493302,0.5,1.0006079933175118,1.9999800001999979,0.0024378906250000004,0.991662596778631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.036952285889480595,127.0,453.0
TX_000010_9823,2026-01-01 00:26:34,2026-01-01 00:26:34,198.51.100.226,45.33.32.35,1BTC00245a,Private Network,AS0,0,MINER,1.0,2.0,10.111017,10.094090000000001,10.111017,0.016927,0.001674114483241399,0.5,1.0016769218423849,1.9999800001999979,0.15673760180099988,0.9955568636751254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.03328260981338811,126.0,1219.0
TX_000011_8651,2026-01-01 00:36:55,2026-01-01 00:36:55,91.200.12.58,51.15.89.215,1BTC01038c,Seychelles,AS36997,0,NORMAL_USER,1.0,2.0,1.014321,1.013589,1.014321,0.000732,0.0007216650350332883,0.5,1.000722186211571,1.9999800001999979,0.00572193909225,0.9838694922319295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.030587701151620215,245.0,553.0
TX_000012_7434,2026-01-01 00:49:53,2026-01-01 00:49:53,194.87.144.10,194.87.144.151,1BTC00112a,Russia,AS12389,0,MERCHANT,4.0,1.0,2.4166659999999998,2.414846,2.4166659999999998,0.00182,0.0007531036560285948,4.0,1.0007536712486014,0.24999937500156252,0.0,0.0,1.9997329714936973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,0.04497730506513102,57.0,757.0
TX_000013_7605,2026-01-01 00:50:04,2026-01-01 00:50:04,178.62.204.61,103.21.244.207,1BTC00190y,United Kingdom,AS2856,0,HIGH_VOLUME_SERVICE,5.0,5.0,0.104933,0.104862,0.104933,7.1e-05,0.0006766222256106278,1.0,1.0006770803532261,0.9999980000040001,2.0731074399999974e-06,2.3184940646848635,2.3199919461599197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,0.07138417488690049,579.0,653.0
TX_000014_2705,2026-01-01 00:52:49,2026-01-01 00:52:49,103.21.244.205,103.21.244.220,1BTC00638x,India,AS55836,0,NORMAL_USER,1.0,2.0,1.345387,1.3442729999999998,1.345387,0.001114,0.0008280145415408354,0.5,1.0008287007177858,1.9999800001999979,0.0021651804922500004,0.9965400396449937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.034570403910531275,105.0,337.0
TX_000015_1440,2026-01-01 00:53:13,2026-01-01 00:53:13,198.51.100.125,119.81.130.225,1BTC00349a,Private Network,AS0,0,EXCHANGE,5.0,8.0,14.765299,14.751776,14.765299,0.013523,0.0009158636069611593,0.625,1.000916703182044,1.5999968000064002,0.012988834506999987,2.9972399715616946,2.319054728594083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,10.0,0.05309504927947008,431.0,412.0
