txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,pattern_type
tx_normal_0001_aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2026-01-15T12:00:00,['1NormUser1MainnetAddress111111111111'],"['1Merchant1StoreAddress222222222222', '1NormUser1ChangeAddress33333333333']",[1.5],"[0.45, 1.0498]",0.0002,NORMAL_P2P
tx_normal_0002_aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2026-01-15T14:00:00,['1NormUser2MainnetAddress111111111111'],"['1Merchant2StoreAddress222222222222', '1NormUser2ChangeAddress33333333333']",[1.5],"[0.45, 1.0498]",0.0002,NORMAL_P2P
tx_normal_0003_aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2026-01-15T16:00:00,['1NormUser3MainnetAddress111111111111'],"['1Merchant3StoreAddress222222222222', '1NormUser3ChangeAddress33333333333']",[1.5],"[0.45, 1.0498]",0.0002,NORMAL_P2P
tx_normal_0004_aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2026-01-15T18:00:00,['1NormUser4MainnetAddress111111111111'],"['1Merchant4StoreAddress222222222222', '1NormUser4ChangeAddress33333333333']",[1.5],"[0.45, 1.0498]",0.0002,NORMAL_P2P
tx_normal_0005_aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2026-01-15T20:00:00,['1NormUser5MainnetAddress111111111111'],"['1Merchant5StoreAddress222222222222', '1NormUser5ChangeAddress33333333333']",[1.5],"[0.45, 1.0498]",0.0002,NORMAL_P2P
tx_fanin_consolidation_0001_bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,2026-01-16T14:00:00,"['1ConsolSource01Addr11111111111111', '1ConsolSource02Addr11111111111111', '1ConsolSource03Addr11111111111111', '1ConsolSource04Addr11111111111111', '1ConsolSource05Addr11111111111111', '1ConsolSource06Addr11111111111111', '1ConsolSource07Addr11111111111111', '1ConsolSource08Addr11111111111111', '1ConsolSource09Addr11111111111111', '1ConsolSource10Addr11111111111111']",['1ConsolidationMasterVault9999999999'],"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",[2.499],0.001,HIGH_FAN_IN
tx_fanout_dispersion_0001_cccccccccccccccccccccccccccccccccccccccccc,2026-01-16T18:00:00,['1DispersionSourceVault88888888888'],"['1DispersionTarget01Addr222222222222', '1DispersionTarget02Addr222222222222', '1DispersionTarget03Addr222222222222', '1DispersionTarget04Addr222222222222', '1DispersionTarget05Addr222222222222', '1DispersionTarget06Addr222222222222', '1DispersionTarget07Addr222222222222', '1DispersionTarget08Addr222222222222', '1DispersionTarget09Addr222222222222', '1DispersionTarget10Addr222222222222', '1DispersionTarget11Addr222222222222', '1DispersionTarget12Addr222222222222', '1DispersionTarget13Addr222222222222', '1DispersionTarget14Addr222222222222', '1DispersionTarget15Addr222222222222']",[2.255],"[0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15]",0.005,HIGH_FAN_OUT
tx_rapid_hop_01_dddddddddddddddddddddddddddddddddddddddddddddddd,2026-01-17T11:02:00,['1RapidRelayStartAddr000000000000'],['1RapidRelayHop01Addr33333333333333'],[5.0],[4.9995],0.0005,RAPID_MOVEMENT
tx_rapid_hop_02_dddddddddddddddddddddddddddddddddddddddddddddddd,2026-01-17T11:04:00,['1RapidRelayHop01Addr33333333333333'],['1RapidRelayHop02Addr33333333333333'],[4.9995],[4.9990000000000006],0.0005,RAPID_MOVEMENT
tx_rapid_hop_03_dddddddddddddddddddddddddddddddddddddddddddddddd,2026-01-17T11:06:00,['1RapidRelayHop02Addr33333333333333'],['1RapidRelayHop03Addr33333333333333'],[4.9990000000000006],[4.998500000000001],0.0005,RAPID_MOVEMENT
