event_id,timestamp,txid,src_ip,dst_ip,src_port,dst_port,country,asn
EVT_000001,2026-01-01 00:00:44,TX_000001_5219,198.51.100.36,119.81.130.182,8034,8333,Private Network,AS0
EVT_000002,2026-01-01 00:05:21,TX_000002_3367,119.81.130.159,185.220.101.77,47897,8333,Singapore,AS4657
EVT_000003,2026-01-01 00:06:04,TX_000003_8040,119.81.130.225,178.62.204.146,51418,8333,Singapore,AS4657
EVT_000004,2026-01-01 00:09:44,TX_000004_9285,194.87.144.175,103.21.244.192,8333,8333,Russia,AS12389
EVT_000005,2026-01-01 00:12:10,TX_000005_6114,51.15.89.115,51.15.89.164,35608,21563,Germany,AS24940
EVT_000006,2026-01-01 00:14:40,TX_000006_8129,91.200.12.38,51.15.89.115,8688,8333,Seychelles,AS36997
EVT_000007,2026-01-01 00:14:53,TX_000007_6497,178.62.204.13,51.15.89.204,56204,8333,United Kingdom,AS2856
EVT_000008,2026-01-01 00:20:27,TX_000008_9158,119.81.130.249,178.62.204.118,18247,8333,Singapore,AS4657
EVT_000009,2026-01-01 00:23:46,TX_000009_6922,119.81.130.182,198.51.100.125,54339,8333,Singapore,AS4657
EVT_000010,2026-01-01 00:26:34,TX_000010_9823,198.51.100.226,45.33.32.35,8333,57846,Private Network,AS0
EVT_000011,2026-01-01 00:36:55,TX_000011_8651,91.200.12.58,51.15.89.215,25611,8333,Seychelles,AS36997
EVT_000012,2026-01-01 00:49:53,TX_000012_7434,194.87.144.10,194.87.144.151,56736,8333,Russia,AS12389
EVT_000013,2026-01-01 00:50:04,TX_000013_7605,178.62.204.61,103.21.244.207,9166,11377,United Kingdom,AS2856
EVT_000014,2026-01-01 00:52:49,TX_000014_2705,103.21.244.205,103.21.244.220,45587,8333,India,AS55836
EVT_000015,2026-01-01 00:53:13,TX_000015_1440,198.51.100.125,119.81.130.225,51713,8333,Private Network,AS0
EVT_000016,2026-01-01 00:57:13,TX_000016_5304,198.51.100.98,91.200.12.77,20392,8333,Private Network,AS0
EVT_000017,2026-01-01 01:12:02,TX_000017_4939,104.244.72.25,103.21.244.224,36830,8333,United States,AS16509
EVT_000018,2026-01-01 01:25:37,TX_000018_2098,178.62.204.249,103.21.244.173,47017,8333,United Kingdom,AS2856
EVT_000019,2026-01-01 01:31:24,TX_000019_9309,185.220.101.160,119.81.130.215,48862,16663,Netherlands,AS13335
EVT_000020,2026-01-01 01:31:36,TX_000020_5519,198.51.100.36,103.21.244.27,46997,8333,Private Network,AS0
EVT_000021,2026-01-01 01:36:27,TX_000021_1679,51.15.89.62,198.51.100.99,8333,8333,Germany,AS24940
EVT_000022,2026-01-01 01:41:11,TX_000022_5700,119.81.130.31,51.15.89.113,8333,8333,Singapore,AS4657
EVT_000023,2026-01-01 01:41:41,TX_000023_6696,178.62.204.13,194.87.144.214,57780,8333,United Kingdom,AS2856
EVT_000024,2026-01-01 01:42:00,TX_000024_0562,103.21.244.205,194.87.144.193,42701,8333,India,AS55836
EVT_000025,2026-01-01 01:55:48,TX_000025_4705,194.87.144.88,185.220.101.77,8333,8333,Russia,AS12389
EVT_000026,2026-01-01 01:56:59,TX_000026_9006,198.51.100.11,103.21.244.205,10744,8333,Private Network,AS0
EVT_000027,2026-01-01 01:57:19,TX_000027_2081,104.244.72.45,91.200.12.58,7702,8333,United States,AS16509
EVT_000028,2026-01-01 01:58:55,TX_000028_8342,198.51.100.226,119.81.130.223,8333,8333,Private Network,AS0
EVT_000029,2026-01-01 02:13:26,TX_000029_4113,185.220.101.81,119.81.130.240,2956,8333,Netherlands,AS13335
EVT_000030,2026-01-01 02:18:42,TX_000030_0749,194.87.144.10,103.21.244.27,28498,8333,Russia,AS12389
EVT_000031,2026-01-01 02:19:42,TX_000031_8423,119.81.130.182,194.87.144.88,8333,8333,Singapore,AS4657
EVT_000032,2026-01-01 02:20:40,TX_000032_3805,51.15.89.196,178.62.204.249,16526,8333,Germany,AS24940
EVT_000033,2026-01-01 02:20:47,TX_000033_3519,103.21.244.207,51.15.89.113,61385,8333,India,AS55836
EVT_000034,2026-01-01 02:33:34,TX_000034_0582,119.81.130.202,45.33.32.163,26316,8333,Singapore,AS4657
EVT_000035,2026-01-01 02:36:50,TX_000035_1644,119.81.130.182,178.62.204.168,8333,8333,Singapore,AS4657
EVT_000036,2026-01-01 02:49:49,TX_000036_9740,51.15.89.62,194.87.144.118,8333,65120,Germany,AS24940
EVT_000037,2026-01-01 02:51:13,TX_000037_7714,51.15.89.62,185.220.101.79,8333,8333,Germany,AS24940
EVT_000038,2026-01-01 02:57:52,TX_000038_8456,194.87.144.119,194.87.144.60,6766,8333,Russia,AS12389
EVT_000039,2026-01-01 03:04:58,TX_000039_4405,178.62.204.178,194.87.144.119,59055,8333,United Kingdom,AS2856
EVT_000040,2026-01-01 03:06:55,TX_000040_3621,198.51.100.226,45.33.32.129,8333,8333,Private Network,AS0
EVT_000041,2026-01-01 03:18:58,TX_000041_6331,185.220.101.79,178.62.204.212,8333,30452,Netherlands,AS13335
EVT_000042,2026-01-01 03:33:42,TX_000042_4242,91.200.12.58,51.15.89.113,60714,8333,Seychelles,AS36997
EVT_000043,2026-01-01 03:44:13,TX_000043_6067,198.51.100.249,45.33.32.137,28184,8333,Private Network,AS0
EVT_000044,2026-01-01 03:55:53,TX_000044_4099,104.244.72.25,51.15.89.121,3479,8333,United States,AS16509
EVT_000045,2026-01-01 03:55:59,TX_000045_5123,45.33.32.35,91.200.12.19,21402,8333,Switzerland,AS51167
EVT_000046,2026-01-01 04:03:15,TX_000046_5085,178.62.204.212,178.62.204.220,16879,8333,United Kingdom,AS2856
EVT_000047,2026-01-01 04:08:36,TX_000047_6748,91.200.12.19,178.62.204.39,4277,8333,Seychelles,AS36997
EVT_000048,2026-01-01 04:09:22,TX_000048_1728,51.15.89.204,104.244.72.179,15688,8333,Germany,AS24940
EVT_000049,2026-01-01 04:09:38,TX_000049_4144,119.81.130.215,51.15.89.233,31877,8333,Singapore,AS4657
EVT_000050,2026-01-01 04:22:20,TX_000050_8541,91.200.12.38,198.51.100.98,32978,8333,Seychelles,AS36997
EVT_000051,2026-01-01 04:23:04,TX_000051_0056,198.51.100.109,194.87.144.60,27460,8333,Private Network,AS0
EVT_000052,2026-01-01 04:35:20,TX_000052_9335,194.87.144.119,51.15.89.215,30142,8333,Russia,AS12389
EVT_000053,2026-01-01 04:37:50,TX_000053_4027,198.51.100.249,198.51.100.99,52454,8333,Private Network,AS0
EVT_000054,2026-01-01 04:41:52,TX_000054_0138,119.81.130.225,185.220.101.79,16392,8333,Singapore,AS4657
EVT_000055,2026-01-01 04:46:44,TX_000055_8605,103.21.244.174,194.87.144.200,8333,20424,India,AS55836
