address,entity_type,typical_volume,reputation_score
1BTC00000z,NORMAL_USER,1.0,90
1BTC00001a,NORMAL_USER,1.0,90
1BTC00002a,NORMAL_USER,1.0,90
1BTC00003z,NORMAL_USER,1.0,90
1BTC00004c,NORMAL_USER,1.0,90
1BTC00005b,NORMAL_USER,1.0,90
1BTC00006b,NORMAL_USER,1.0,90
1BTC00007b,NORMAL_USER,1.0,90
1BTC00008z,NORMAL_USER,1.0,90
1BTC00009a,NORMAL_USER,1.0,90
1BTC00010z,NORMAL_USER,1.0,90
1BTC00011z,NORMAL_USER,1.0,90
1BTC00012y,NORMAL_USER,1.0,90
1BTC00013a,NORMAL_USER,1.0,90
1BTC00014y,NORMAL_USER,1.0,90
1BTC00015x,NORMAL_USER,1.0,90
1BTC00016a,NORMAL_USER,1.0,90
1BTC00017a,NORMAL_USER,1.0,90
1BTC00018a,NORMAL_USER,1.0,90
1BTC00019b,NORMAL_USER,1.0,90
1BTC00020b,NORMAL_USER,1.0,90
1BTC00021y,NORMAL_USER,1.0,90
1BTC00022y,NORMAL_USER,1.0,90
1BTC00023a,NORMAL_USER,1.0,90
1BTC00024y,NORMAL_USER,1.0,90
1BTC00025b,NORMAL_USER,1.0,90
1BTC00026z,NORMAL_USER,1.0,90
1BTC00027z,NORMAL_USER,1.0,90
1BTC00028z,NORMAL_USER,1.0,90
1BTC00029y,NORMAL_USER,1.0,90
1BTC00030x,NORMAL_USER,1.0,90
1BTC00031b,NORMAL_USER,1.0,90
1BTC00032x,NORMAL_USER,1.0,90
1BTC00033y,NORMAL_USER,1.0,90
1BTC00034c,NORMAL_USER,1.0,90
1BTC00035a,NORMAL_USER,1.0,90
1BTC00036b,NORMAL_USER,1.0,90
1BTC00037z,NORMAL_USER,1.0,90
1BTC00038x,NORMAL_USER,1.0,90
1BTC00039c,NORMAL_USER,1.0,90
1BTC00040c,NORMAL_USER,1.0,90
1BTC00041b,NORMAL_USER,1.0,90
1BTC00042b,NORMAL_USER,1.0,90
1BTC00043c,NORMAL_USER,1.0,90
1BTC00044a,NORMAL_USER,1.0,90
1BTC00045a,NORMAL_USER,1.0,90
1BTC00046x,NORMAL_USER,1.0,90
1BTC00047a,NORMAL_USER,1.0,90
1BTC00048c,NORMAL_USER,1.0,90
1BTC00049c,NORMAL_USER,1.0,90
1BTC00050y,NORMAL_USER,1.0,90
1BTC00051c,NORMAL_USER,1.0,90
1BTC00052a,NORMAL_USER,1.0,90
1BTC00053z,NORMAL_USER,1.0,90
1BTC00054x,NORMAL_USER,1.0,90
1BTC00055y,NORMAL_USER,1.0,90
1BTC00056a,NORMAL_USER,1.0,90
1BTC00057x,NORMAL_USER,1.0,90
1BTC00058a,NORMAL_USER,1.0,90
1BTC00059y,NORMAL_USER,1.0,90
1BTC00060c,NORMAL_USER,1.0,90
1BTC00061z,NORMAL_USER,1.0,90
1BTC00062y,NORMAL_USER,1.0,90
1BTC00063c,NORMAL_USER,1.0,90
1BTC00064y,NORMAL_USER,1.0,90
1BTC00065b,NORMAL_USER,1.0,90
1BTC00066z,NORMAL_USER,1.0,90
1BTC00067a,NORMAL_USER,1.0,90
1BTC00068a,NORMAL_USER,1.0,90
1BTC00069z,NORMAL_USER,1.0,90
1BTC00070b,NORMAL_USER,1.0,90
1BTC00071c,NORMAL_USER,1.0,90
1BTC00072a,NORMAL_USER,1.0,90
1BTC00073b,NORMAL_USER,1.0,90
1BTC00074a,NORMAL_USER,1.0,90
1BTC00075x,NORMAL_USER,1.0,90
1BTC00076c,NORMAL_USER,1.0,90
1BTC00077x,NORMAL_USER,1.0,90
1BTC00078z,NORMAL_USER,1.0,90
1BTC00079c,NORMAL_USER,1.0,90
1BTC00080b,NORMAL_USER,1.0,90
1BTC00081c,NORMAL_USER,1.0,90
1BTC00082c,NORMAL_USER,1.0,90
1BTC00083b,NORMAL_USER,1.0,90
1BTC00084z,NORMAL_USER,1.0,90
1BTC00085c,NORMAL_USER,1.0,90
1BTC00086z,NORMAL_USER,1.0,90
1BTC00087z,NORMAL_USER,1.0,90
1BTC00088z,NORMAL_USER,1.0,90
1BTC00089a,NORMAL_USER,1.0,90
1BTC00090y,NORMAL_USER,1.0,90
1BTC00091z,NORMAL_USER,1.0,90
1BTC00092b,NORMAL_USER,1.0,90
1BTC00093y,NORMAL_USER,1.0,90
1BTC00094z,NORMAL_USER,1.0,90
1BTC00095b,NORMAL_USER,1.0,90
1BTC00096b,NORMAL_USER,1.0,90
1BTC00097x,NORMAL_USER,1.0,90
1BTC00098x,NORMAL_USER,1.0,90
1BTC00099c,NORMAL_USER,1.0,90
1BTC00100z,NORMAL_USER,1.0,90
1BTC00101z,NORMAL_USER,1.0,90
1BTC00102y,NORMAL_USER,1.0,90
1BTC00103b,NORMAL_USER,1.0,90
1BTC00104z,NORMAL_USER,1.0,90
1BTC00105c,NORMAL_USER,1.0,90
1BTC00106a,NORMAL_USER,1.0,90
