txid,timestamp,datetime,src_ip,dst_ip,primary_wallet,src_country,src_asn,label,entity_type,input_count,output_count,total_input_amount,total_output_amount,transaction_value,fee,fee_ratio,input_output_ratio,amount_in_out_ratio,fan_out_ratio,output_amount_variance,output_entropy,input_entropy,is_high_fanout,is_high_fanin,wallet_prior_tx_count,wallet_prior_sent_count,wallet_prior_recv_count,wallet_unique_ips_count,wallet_unique_asns_count,wallet_avg_sent_amount,wallet_std_sent_amount,wallet_avg_recv_amount,wallet_in_out_tx_ratio,ip_prior_tx_count,ip_associated_wallets_count,ip_unique_ports_used,is_standard_btc_port,is_ephemeral_src_port,shared_infrastructure_indicator,time_since_prev_wallet_tx,time_since_prev_ip_tx,burst_score,wallet_txs_last_1h,wallet_txs_last_6h,wallet_txs_last_24h,wallet_txs_last_7d,ip_txs_last_1h,ip_txs_last_24h,wallet_tx_velocity_per_hour,graph_degree,graph_in_degree,graph_out_degree,graph_pagerank,graph_2hop_neighbors,graph_3hop_neighbors,ml_probability,anomaly_score,graph_score,composite_risk_score,risk_level
TX_000001_2758,2026-01-01 00:14:01,2026-01-01 00:14:01,194.87.144.212,119.81.130.205,1BTC00381b,Russia,AS12389,0,NORMAL_USER,2.0,1.0,0.90707,0.90583,0.90707,0.00124,0.0013670389275359123,2.0,1.0013689102811787,0.49999750001249993,0.0,0.0,0.9997749854821724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.12736958046178953,73.0,923.0,0.00037061423,21.43419509295495,0.0,4.5,LOW
TX_000002_5203,2026-01-01 00:26:04,2026-01-01 00:26:04,178.62.204.180,178.62.204.175,1BTC00161a,United Kingdom,AS2856,0,NORMAL_USER,2.0,2.0,1.350199,1.34979,1.350199,0.000409,0.0003029183105601471,1.0,1.000303010097867,0.9999950000249999,0.0005769603999999993,0.9990860764851506,0.9998693756516854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.15240095238450288,44.0,677.0,0.00030511292,21.176787647766993,0.0,4.6,LOW
TX_000003_9193,2026-01-01 00:31:36,2026-01-01 00:31:36,104.244.72.169,194.87.144.143,1BTC00018a,United States,AS16509,0,NORMAL_USER,1.0,2.0,1.418984,1.41668,1.418984,0.002304,0.0016236969550044258,0.5,1.0016263376344694,1.9999800001999979,0.0035655229439999986,0.9948678449015523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.13193599218104082,54.0,470.0,0.00031258573,18.73903654548682,0.0,4.4,LOW
TX_000004_6284,2026-01-01 00:44:59,2026-01-01 00:44:59,194.87.144.212,194.87.144.13,1BTC00162z,Russia,AS12389,0,NORMAL_USER,1.0,2.0,1.486572,1.4861689999999999,1.486572,0.000403,0.00027109349563963266,0.5,1.0002711670072517,1.9999800001999979,0.0020862513002500036,0.9972728528932795,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.445525,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.2,86400.0,1858.0,0.0006944444443640689,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,3.0,4.0,0.1408106987374556,52.0,616.0,0.00027898024,19.165376432027898,0.0,5.1,LOW
TX_000005_9386,2026-01-01 00:47:44,2026-01-01 00:47:44,51.15.89.74,198.51.100.86,1BTC00215c,Germany,AS24940,0,NORMAL_USER,1.0,2.0,1.57829,1.5755219999999999,1.57829,0.002768,0.0017537968307472012,0.5,1.001756878037882,1.9999800001999979,0.005169466200999999,0.9939826420057881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.11822175011790288,43.0,267.0,0.0003174997,22.9337796176236,0.0,5.2,LOW
TX_000006_2400,2026-01-01 01:01:06,2026-01-01 01:01:06,51.15.89.118,194.87.144.143,1BTC00367x,Germany,AS24940,0,MINER,1.0,5.0,6.381879,6.372159,6.381879,0.00972,0.001523062408422347,0.2,1.0015253856659885,4.999950000499995,0.006627695598960001,2.319016254513142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,0.14612325264145037,151.0,730.0,0.0039321785,28.669696180837363,0.0,7.4,LOW
TX_000007_7284,2026-01-01 01:12:10,2026-01-01 01:12:10,51.15.89.211,198.51.100.104,1BTC00361b,Germany,AS24940,0,NORMAL_USER,2.0,2.0,1.1742629999999998,1.173886,1.1742629999999998,0.000377,0.00032105243884887803,1.0,1.0003211555466203,0.9999950000249999,0.002180609808999999,0.9954292261615452,0.9934034551242197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.11663097561612915,79.0,671.0,0.00030511292,19.86689485630132,0.0,4.3,LOW
TX_000008_2229,2026-01-01 01:18:59,2026-01-01 01:18:59,178.62.204.228,185.220.101.144,1BTC00361b,United Kingdom,AS2856,0,NORMAL_USER,2.0,1.0,1.487598,1.486192,1.487598,0.001406,0.0009451478154716529,2.0,1.0009460419649683,0.49999750001249993,0.0,0.0,0.9983551576733898,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.531028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,409.0,86400.0,0.14669926291688845,1.0,1.0,1.0,1.0,0.0,0.0,0.041666666666666664,7.0,4.0,3.0,0.12323630637460503,137.0,159.0,0.0003871407,26.596649390259795,0.0,6.0,LOW
TX_000009_1987,2026-01-01 01:31:11,2026-01-01 01:31:11,104.244.72.170,103.21.244.121,1BTC00114y,United States,AS16509,0,NORMAL_USER,1.0,2.0,0.53264,0.532494,0.53264,0.000146,0.0002741063382397116,0.5,1.0002741814931249,1.9999800001999979,0.000528770025,0.9946125515632898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.16904295873325642,109.0,447.0,0.00031258573,22.383276786658023,0.0,5.1,LOW
TX_000010_5868,2026-01-01 01:35:50,2026-01-01 01:35:50,103.21.244.121,45.33.32.253,1BTC00194x,India,AS55836,1,SUSPICIOUS_ACTOR,7.0,3.0,9.721261,9.714309,9.721261,0.006952,0.000715133561376451,2.3333333333333335,1.0007156453433796,0.4285708163274053,0.28453087879266664,1.565999808436152,2.804939474336272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,5.0,0.20800423279131938,130.0,251.0,0.99532914,33.672265190596335,0.0,56.6,MEDIUM
